,!Compound,!Compound:Identifiers:kegg.compound,!Quantity,!QuantityType,data,ecf1,ecf1_Lower,ecf1_Upper,ecf2s,ecf2s_Lower,ecf2s_Upper,ecf2sp,ecf2sp_Lower,ecf2sp_Upper,ecf3s,ecf3s_Lower,ecf3s_Upper,ecf3sp,ecf3sp_Lower,ecf3sp_Upper,ecf4cmr,ecf4cmr_Lower,ecf4cmr_Upper,ecf4geom,ecf4geom_Lower,ecf4geom_Upper,fixed,initial,mdf,mdf_Lower,mdf_Upper,!Color,!External,!Name,glucose mean,glucose std,glucose_Lower,glucose_Upper
10,NADplus,C00003,Qy11,concentration,2.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,#bbaa99,1,NAD+,2.112813254,0.122841002,1.8720448900800002,2.35358161792
11,ATP,C00002,Qy12,concentration,9.63,5.0,9.63,9.63,5.0,9.63,7.330177000000001,5.0,9.63,6.9298035,5.0,9.63,6.4111631,5.0,9.63,6.3787417,5.0,9.63,6.865027400000001,5.0,9.63,6.571961900000001,5.0,5.0,5.0,NaN,NaN,#bbaa99,1,ATP,3.449139474,0.067590655,3.3166617902,3.5816171578
12,H2O,C00001,Qy13,concentration,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,#bbaa99,1,H2O,,,,
13,_2_Oxoglutarate,C00026,Qy14,concentration,0.44299999999999995,0.099999997,0.050222807,0.19911271,0.099999793,0.036496306,0.2739992,0.099943801,0.020756966,0.48122463,0.099999302,0.031909261,0.31338426,0.099997968,0.030672712,0.32600944,0.13227726,0.041239434,0.42428502,0.10315739,0.030231241000000002,0.35200166,,0.08423700199999999,0.085350994,NaN,NaN,#bbaa99,0,AKG,0.636948598,0.093148759,0.45437703036000004,0.81952016564
14,Oxaloacetate,C00036,Qy15,concentration,,0.001,0.001,0.0022867132,0.001,0.001,0.0010583527,0.001,0.001,0.0010851458,0.001,0.001,0.0010908133999999999,0.001,0.001,0.0010998569,0.0011135469999999999,0.001,0.0013165163,0.001,0.001,0.0011365949,,0.001,0.001,NaN,NaN,#bbaa99,0,OXA,,,,
15,Ubiquinone,C00399,Qy16,concentration,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,#bbaa99,1,ubiquinone,,,,
16,D_Erythrose_4_phosphate,C00279,Qy17,concentration,,0.1,0.05022281,0.19911272,0.093620502,0.036603403,0.23945311,0.10771658,0.026178516000000002,0.44322075,0.11527552,0.041751578,0.31827411,0.11593298,0.040459924,0.33219183,0.12492393,0.040227555,0.38794276,0.11952527,0.040491492000000004,0.35282204,,0.08938756699999999,0.09015896699999999,NaN,NaN,#bbaa99,0,E4P,0.026636791,0.000311378,0.02602649012,0.02724709188
17,Ubiquinol,C00390,Qy18,concentration,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,#bbaa99,1,ubiquinol,,,,
18,ADP,C00008,Qy19,concentration,0.555,0.5,0.555,0.555,0.5,0.555,0.555,0.5,0.555,0.555,0.5,0.555,0.555,0.5,0.555,0.555,0.5,0.555,0.555,0.5,0.555,0.555,0.5,0.5,0.5,NaN,NaN,#bbaa99,1,ADP,0.604612373,0.007376521,0.5901543918400001,0.61907035416
19,Isocitrate,C00311,Qy20,concentration,0.02,0.039485229,0.0197447,0.078962117,0.023294296000000003,0.015344989,0.035361655,0.0048037219,0.0029465712,0.0078313887,0.025788367000000003,0.015617657,0.042582564,0.024949146000000002,0.014862179,0.04188214,0.032840191,0.020947652,0.051484441,0.027003931000000002,0.016295745,0.044748632,,0.015324438000000001,0.017689671,NaN,NaN,#bbaa99,0,icit,0.008160872,0.001992442,0.004255685679999999,0.01206605832
20,D_Ribulose_5_phosphate,C00199,Qy21,concentration,,0.10000002,0.050222819,0.19911276,0.10036868,0.036809041,0.27367929,0.10358864,0.023726236,0.45226754,0.13362578,0.061101989,0.29223025,0.13783872,0.061740672999999996,0.30773089,0.12291206,0.071068264,0.21257554,0.13634019,0.06492728099999999,0.28629951,,0.19133432,0.18205838,NaN,NaN,#bbaa99,0,ru5P,0.658756018,0.037275503,0.5856960321200001,0.73181600388
21,D_Xylulose_5_phosphate,C00231,Qy22,concentration,,0.10000001,0.050222814000000005,0.19911274,0.10347497,0.038751547000000004,0.27630046,0.16563379,0.05191198599999999,0.52848205,0.24791272,0.11398662,0.53919237,0.24235146,0.11074332,0.5303635999999999,0.28275094,0.1335122,0.59880743,0.26143759,0.11891573,0.57477351,,0.14290171,0.13904751,NaN,NaN,#bbaa99,0,Xu5P,0.594614278,0.043318846,0.50970933984,0.67951921616
22,D_Glucose_6_phosphate,C00092,Qy23,concentration,8.75,0.16534833,0.08293777299999999,0.32964556,0.21099691,0.12801220000000002,0.34777698,0.37286687,0.19492338,0.71325305,0.25115324,0.14238384,0.4430134,0.26366131,0.14308161,0.48585759,0.31384478,0.15658659,0.62903564,0.28150131,0.14770923,0.53647957,,0.23026886,0.23108382,NaN,NaN,#bbaa99,0,G6P,0.949160667,0.017923552,0.91403050508,0.98429082892
23,_3_Phospho_D_glyceroyl_phosphate,C00236,Qy24,concentration,,0.0027503816,0.0012815298,0.0059027881,0.0023195472,0.0019669489000000004,0.0027353528,0.01316217,0.011941148,0.014508046,0.0042717495,0.0037508751,0.0048649564,0.004274232,0.0037496209000000003,0.0048722418,0.0055922629000000005,0.0046300306,0.0067544703,0.0048062541999999995,0.0041123525,0.005617242099999999,,0.0014117123000000002,0.0014869629000000002,NaN,NaN,#bbaa99,0,BPG,0.050794221,0.001900499,0.04706924296,0.05451919904
24,CoA,C00010,Qy25,concentration,1.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NaN,NaN,#bbaa99,1,CoA,1.37,,,
25,CO2,C00011,Qy26,concentration,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NaN,NaN,#bbaa99,1,CO2,,,,
26,D_Ribose_5_phosphate,C00117,Qy27,concentration,1.32,0.099999999,0.050222808,0.19911272,0.10331880000000002,0.038761708,0.27539486,0.14408736,0.043865101,0.4732958,0.18604046,0.089785462,0.38548617,0.18808916,0.088524981,0.39963334,0.20276581,0.11145581,0.3688814,0.19977018,0.09700314,0.41141066,,0.10056961,0.10052588,NaN,NaN,#bbaa99,0,R5P,0.230228763,0.063033371,0.10668335584,0.35377417016
27,Glycerone_phosphate,C00111,Qy28,concentration,0.374,0.68442298,0.33720093,1.389186,0.81754621,0.7621583000000001,0.8769593000000001,3.9286702000000004,3.7363955,4.1308394,1.7778555,1.5533926000000002,2.034753,1.8807251,1.6182121,2.185824,2.8921631000000003,2.5188956,3.3207438999999996,2.2812726000000003,1.9765998,2.6329075,,1.5660832,1.5724354,NaN,NaN,#bbaa99,0,DHAP,1.320288867,0.086349045,1.1510447388,1.4895329951999998
28,D_Glucose,C00031,Qy29,concentration,17.363,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,NaN,NaN,#bbaa99,1,glu,17.363,,,
29,D_Fructose_1_6_bisphosphate,C00354,Qy30,concentration,15.2,0.2670849,0.13348763,0.53438916,0.49084082,0.36696168,0.65653916,10.0,8.4953849,10.0,1.7525131,1.4042781000000002,2.187104,2.0414653,1.5775905000000001,2.6417379,5.1273341,3.9832400000000003,6.6000428,3.1127237,2.4136792999999996,4.0142238,,1.7101268,1.4080612,NaN,NaN,#bbaa99,0,FBP,1.160958119,0.022863918,1.11614483972,1.20577139828
30,D_Glyceraldehyde_3_phosphate,C00118,Qy31,concentration,,0.07447050599999999,0.037384986,0.14834448,0.08563981400000001,0.080242775,0.09139985,0.41755223,0.39920976,0.43673748,0.15024543,0.1354235,0.16668961,0.15288981,0.13692257,0.17071906,0.25140311,0.22363299,0.28262165,0.19192082,0.17109781,0.21527804,,0.080693239,0.08313809900000001,NaN,NaN,#bbaa99,0,GA3P,,,,
31,Phosphoenolpyruvate,C00074,Qy32,concentration,0.184,0.099999967,0.050222792,0.19911265,0.057775032000000004,0.029998321,0.11127137,0.011959444,0.0098796425,0.014477071000000001,0.16081505,0.11260962,0.22965606,0.14094084,0.10028404,0.19808058,0.16061957,0.10883496,0.23704376,0.15025917,0.10515756,0.21470465,,0.022366145,0.025084512000000003,NaN,NaN,#bbaa99,0,PEP,0.353157713,0.07914725,0.19802910299999998,0.508286323
32,Citrate,C00158,Qy33,concentration,1.96,0.84483867,0.41429678,1.7228044999999998,1.302014,1.0147151,1.6706566999999999,0.24944801,0.20132152,0.30907928,1.5884808000000001,1.2147763999999999,2.0771488000000002,1.6721877,1.2388838,2.2570412999999996,1.8960978,1.3995596000000001,2.5687989,1.7359296999999998,1.2770556,2.3596874,,1.7276807,1.6061085,NaN,NaN,#bbaa99,0,cit,0.702862499,0.064723423,0.5760045899199999,0.82972040808
33,Succinyl_CoA,C00091,Qy34,concentration,0.233,0.13079317,0.065664419,0.26051939,0.15250165,0.09075067,0.25627088,0.20493433,0.10638162,0.39478702,0.15376346,0.08583830099999999,0.27543884,0.1704275,0.087465438,0.33208012,0.41513043,0.2069998,0.83252873,0.23475248,0.11650219,0.47302741,,0.26314082,0.24434653,NaN,NaN,#bbaa99,0,sucCoA,0.233,,,
34,_3_Phospho_D_glycerate,C00197,Qy35,concentration,1.54,0.22938079,0.11480378,0.45830849,0.17345993,0.13919365,0.21616178,0.020810653999999998,0.01921531,0.022538451,0.46447832,0.40436253,0.5335314,0.47275964,0.40385469,0.55342103,0.54124673,0.44389601,0.65994741,0.50055655,0.42123599999999994,0.5948135,,0.11999493,0.12737698,NaN,NaN,#bbaa99,0,3PG,0.795820051,0.037578892,0.72216542268,0.86947467932
35,D_Glucono_1_5_lactone_6_phosphate,C01236,Qy36,concentration,,0.099999999,0.050222808,0.19911272,0.091216999,0.036155164,0.23013423,0.072947672,0.020160608,0.26394853,0.093353682,0.031868831,0.27346187,0.092012993,0.03056899,0.27696011,0.087338468,0.026142334,0.29178757,0.08934642400000001,0.028721191,0.27794054,,0.080801033,0.082131122,NaN,NaN,#bbaa99,0,glucono-lactone-6P,,,,
36,D_Fructose_6_phosphate,C00085,Qy37,concentration,,0.060478385999999995,0.030335612,0.12057232,0.048602027,0.029424544,0.080278457,0.087685674,0.047694217000000004,0.16120985,0.050507685999999996,0.026887795,0.094876739,0.047372885999999996,0.024326032999999997,0.092254675,0.053656492,0.023928692,0.12031661,0.049722552999999996,0.024252487000000003,0.10194139,,0.040983254,0.0409298,NaN,NaN,#bbaa99,0,F6P,0.335967224,0.029047829,0.27903347916,0.39290096884000003
37,_2_Phospho_D_glycerate,C00631,Qy38,concentration,,0.04359561,0.021819354,0.087105109,0.026297989,0.020882593999999997,0.033117736,0.0036343596999999996,0.0033682383,0.003921507,0.06945826599999999,0.059538308,0.081031035,0.061227664,0.051491527999999995,0.07280473,0.069149089,0.056281274000000006,0.084958924,0.06458434,0.053709402999999996,0.077661205,,0.010681651,0.011777238,NaN,NaN,#bbaa99,0,2PG,,,,
38,Succinate,C00042,Qy39,concentration,0.569,0.076456608,0.038384867999999996,0.15228951,0.065581698,0.039026702999999996,0.11020555,0.089064799,0.047700362999999996,0.16629933,0.066229418,0.037002555,0.11854143,0.059865314,0.0307798,0.11643532,0.073095914,0.029291862999999998,0.18240604,0.05931068,0.027188617999999998,0.12938344,,0.058698134000000006,0.061142789,NaN,NaN,#bbaa99,0,succ,1.185325381,0.193469139,0.8061258685599999,1.56452489344
39,Sedoheptulose_7_phosphate,C05382,Qy40,concentration,,0.1,0.05022281,0.19911272,0.10316735,0.041136509,0.25873615,0.072052059,0.021953438,0.23647773,0.09918917099999999,0.034521219,0.28499839,0.09859692199999999,0.032993991,0.29464011,0.094736759,0.029805546000000002,0.30112026,0.097568164,0.031773489,0.29960659,,0.093076435,0.09358930300000001,NaN,NaN,#bbaa99,0,S7P,,,,
